"id_circuito","ref_circuito","nombre_circuito","ubicacion","pais_circuito","latitud","longitdu","altitud","url"
1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia","-37.849700","144.968000",10,"http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit"
2,"sepang","Sepang International Circuit","Kuala Lumpur","Malaysia","2.760830","101.738000",18,"http://en.wikipedia.org/wiki/Sepang_International_Circuit"
3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain","26.032500","50.510600",7,"http://en.wikipedia.org/wiki/Bahrain_International_Circuit"
4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain","41.570000","2.261110",109,"http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya"
5,"istanbul","Istanbul Park","Istanbul","Turkey","40.951700","29.405000",130,"http://en.wikipedia.org/wiki/Istanbul_Park"
6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco","43.734700","7.420560",7,"http://en.wikipedia.org/wiki/Circuit_de_Monaco"
7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada","45.500000","-73.522800",13,"http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve"
8,"magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France","46.864200","3.163610",228,"http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"
9,"silverstone","Silverstone Circuit","Silverstone","UK","52.078600","-1.016940",153,"http://en.wikipedia.org/wiki/Silverstone_Circuit"
10,"hockenheimring","Hockenheimring","Hockenheim","Germany","49.327800","8.565830",103,"http://en.wikipedia.org/wiki/Hockenheimring"
11,"hungaroring","Hungaroring","Budapest","Hungary","47.578900","19.248600",264,"http://en.wikipedia.org/wiki/Hungaroring"
12,"valencia","Valencia Street Circuit","Valencia","Spain","39.458900","-0.331667",4,"http://en.wikipedia.org/wiki/Valencia_Street_Circuit"
13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium","50.437200","5.971390",401,"http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"
14,"monza","Autodromo Nazionale di Monza","Monza","Italy","45.615600","9.281110",162,"http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza"
15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore","1.291400","103.864000",18,"http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit"
16,"fuji","Fuji Speedway","Oyama","Japan","35.371700","138.927000",583,"http://en.wikipedia.org/wiki/Fuji_Speedway"
17,"shanghai","Shanghai International Circuit","Shanghai","China","31.338900","121.220000",5,"http://en.wikipedia.org/wiki/Shanghai_International_Circuit"
18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil","-23.703600","-46.699700",785,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace"
