"escuderia_id","nombre_escuderia","nacionalidad_escuderia","carreras","victorias","porcentaje_victorias","podios","poles"
6,"Ferrari","Italian","2439","249","10.21","1019","258"
1,"McLaren","British","1923","185","9.62","784","164"
131,"Mercedes","German","652","129","19.79","349","142"
9,"Red Bull","Austrian","788","122","15.48","375","103"
3,"Williams","British","1676","114","6.80","812","128"
32,"Team Lotus","British","871","45","5.17","221","61"
4,"Renault","French","787","35","4.45","282","51"
22,"Benetton","Italian","520","27","5.19","159","15"
34,"Brabham","British","662","23","3.47","157","26"
25,"Tyrrell","British","881","23","2.61","231","14"
172,"Lotus-Climax","British","233","22","9.44","66","29"
66,"BRM","British","562","17","3.02","122","11"
170,"Cooper-Climax","British","268","12","4.48","69","10"
180,"Lotus-Ford","British","128","11","8.59","29","19"
51,"Alfa Romeo","Swiss","451","11","2.44","213","13"
118,"Vanwall","British","71","10","14.08","16","8"
105,"Maserati","Italian","436","9","2.06","72","11"
196,"Matra-Ford","French","40","9","22.50","15","2"
27,"Ligier","French","611","9","1.47","153","9"
23,"Brawn","British","34","8","23.53","16","5"
191,"Brabham-Repco","British","77","8","10.39","29","7"
113,"Kurtis Kraft","American","226","5","2.21","81","6"
187,"McLaren-Ford","British","87","4","4.60","19","0"
17,"Jordan","Irish","500","4","0.80","129","2"
11,"Honda","Japanese","152","3","1.97","63","2"
59,"Wolf","Canadian","79","3","3.80","27","1"
107,"Watson","American","22","3","13.64","9","2"
37,"March","British","524","3","0.57","112","5"
108,"Epperly","American","17","2","11.76","11","0"
87,"Cooper","British","103","2","1.94","24","0"
182,"Brabham-Ford","British","58","2","3.45","15","4"
167,"Cooper-Maserati","British","134","2","1.49","25","1"
208,"Lotus F1","British","154","2","1.30","71","0"
183,"Brabham-Climax","British","93","2","2.15","20","2"
214,"Alpine F1 Team","French","180","1","0.56","83","0"
95,"Porsche","German","84","1","1.19","29","1"
211,"Racing Point","British","76","1","1.32","33","1"
5,"Toro Rosso","Italian","536","1","0.19","293","1"
64,"Hesketh","British","97","1","1.03","25","0"
24,"Stewart","British","98","1","1.02","25","1"
58,"Shadow","British","211","1","0.47","56","0"
67,"Penske","American","46","1","2.17","12","0"
114,"Kuzma","American","39","1","2.56","19","0"
213,"AlphaTauri","Italian","166","1","0.60","100","0"
176,"Lotus-BRM","British","121","1","0.83","19","0"
190,"Eagle-Weslake","American","21","1","4.76","2","0"
2,"BMW Sauber","German","140","1","0.71","53","1"
52,"Spirit","British","25","0","0.00","3","0"
162,"Snowberger","American","1","0","0.00","0","0"
132,"Lancia","Italian","11","0","0.00","1","2"
84,"Connew","British","1","0","0.00","0","0"
169,"Cooper-Borgward","British","3","0","0.00","2","0"
